Serial_No,airline,overall,author,review_date,customer_review,aircraft,traveller_type,cabin,route,date_flown,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended,polarity scores,Sentiment Score, Rating,Sentiment Values
5312,British Airways,9,N Heane,30th November 2018,Phoenix to Accra via London. I had a great Customer service treatment at the check in at Phoenix by the young lady who checked me in. She was very professional and handled my check in process excellently. My entire trip was great and I really was treated very well also on my final leg to Accra by the BA staff in London as well. Just want to appreciate this gesture of professionalism by the staff.,Boeing 747,Business,Business Class,Phoenix to Accra via London,11/18/2019,5,5,5,3,5,5,yes,0.9642,Positive,28,1
5313,British Airways,2,Joerg Boese,28th November 2018,"San Diego to Hannover via London. I booked on ba.com, the longer flights both ways in premium economy. On the return I was informed at San Diego that the American Airlines flight into DFW was severely delayed and I would miss my flight into London. American Airlines could book me on a later flight the same day, but had only coach available. If I insisted on premier economy I could fly in 3 days. I took the coach and American assured my that BA would refund the fare difference for this downgrade. After arrival at home I contacted BA on their website to refund the fare difference. A bizarre exchange followed. First they said you did not buy any upgraded seat. I told them to look at the ticket. You can't get a refund because the economy class seat was much more expensive that the booked premium economy seat. I contacted BA Germany who said you get a refund, but you booked this with a travel agent, so we are not in charge. I booked with BA on their website. They saidthey would send this to London so they can c...",Boeing 777,Solo Leisure,Economy Class,San Diego to Hannover via London,11/18/2019,2,4,4,4,2,2,no,-0.9127,Negative,18,-1
5314,British Airways,9,David Ellis,27th November 2018,"London to Johannesburg. Turning right to the first wing at T5 was a new experience for us. It was all pretty slick, although the guy at check-in wasn't exactly Mr Convivial. The Concorde Room was impressive, too - particularly the terrace with its quirky interior design, overlooking the main concourse. Boarding involved lining up according to group. This smacked a bit of low-cost airlines, but I guess that's necessary with all the passengers on a double-decker plane. The first cabin on the A380 is definitely more spacious than on a 747 and the 'suites' also had more room and extra storage space. The dividers seemed higher, too, giving better privacy. The fact that the cabin was only half full was another bonus. Cabin crew were friendly, attentive and thoroughly professional. Food was good, too, and demonstrated that airline food can be of restaurant quality if the cabin crew use reheating facilities properly. The wines on offer were a good selection, including the fabulous LPGS, and we enjoyed some wine ta...",A380,Couple Leisure,First Class,London to Johannesburg,11/18/2019,5,5,5,4,4,4,yes,0.9943,Positive,27,1
5315,British Airways,7,S Kane,22nd November 2018,"Vancouver to London Heathrow. I chose to fly with them because I had been told they were good for families and as I was traveling with my 8 month old alone this was what I needed. The booking process was not smooth and very stressful, I have to call customer service multiple times and they need to improve their customer service call center. The 2 flights were great though, the staff both on the ground and in the air were very helpful and did everything they could to ensure I was doing ok. The crew came around often with drinks and the food was ok I was first given a cot for my baby. I originally wanted a one of the Britax seats they have but was talked out it saying my baby would be more comfortable in the cot, nope! He was too big and could not lie straight so I asked for it to be switched out and he was asleep with 15 minutes. All the toilets in economy were out of order at least 3 hours before we reached our destination so everyone had to used the business class toilets, I'm sure that was annoying for t...",Boeing 747-400,Family Leisure,Economy Class,Vancouver to London Heathrow,11/18/2019,5,5,4,2,5,4,yes,0.8975,Positive,25,1
5316,British Airways,4,B Worley,20th November 2018,"Basel to San Fransisco via Heathrow. I'm convinced the quality has dropped considerably in the past several years. I booked World Traveller Plus or Premium Economy which costs appr. twice as much as economy. The flight to SFO was ok seat wise as the plane was an A380 and I has reserved an aisle seat. The food was disgusting for me, during the flight we were given a box with several pieces of junk food and shortly before landing given a piece of pizza. The choice of food leaves a lot to be desired. There were cold drinks offered regularly and you can go to the bulkhead to get extra if needed. We were offered maybe two hot drinks during the 12 hours on the plane (longer due to a delay leaving the UK). The flight back to the UK was worse since it was a Boeing 747 with the older bulkier seats. You couldn't even get to the remote control hidden in the inside of the seat and I'm not big. The recliner didn't work properly and the general space around the seat is cramped as the person next to me spilled over to my...",Boeing 747,Solo Leisure,Premium Economy,Basel to San Fransisco via Heathrow,11/18/2019,2,3,2,3,5,2,no,-0.197,Negative,17,-1
5317,British Airways,1,H Parker,12th November 2018,"Buenos Aires to London. We flew overnight Friday 9th November. The plane seating is worn out and uncomfortable, there were large numbers or Argentinian passengers on the plane yet I saw no staff that spoke Spanish. The chicken dinner was described as Curry but there was no sauce on it. The bread roll was stale and dessert stodgy, During the night no water was offered to me. It was not possible to charge electronic equipment, the seatback screens were small with a limited choice of entertainment.",Boeing 777-200,Couple Leisure,Economy Class,Buenos Aires to London,11/18/2019,1,2,1,1,1,1,no,-0.7391,Negative,7,-1
5318,British Airways,1,F Carini,10th November 2018,"Business Class space is ridiculously narrow. Service is very careless. You are not allowed laptops on the flight from Riyadh, so you cannot work if you want to. You cannot choose when to eat.",Boeing 777,Business,Business Class,Riyadh to London,11/18/2019,1,2,2,3,3,1,no,-0.5984,Negative,12,-1
5319,British Airways,7,S Marden,2nd November 2018,"Heathrow to Athens on A321. Arrived at the airport in time and bag drop was an ease. Got to the gate within 30mins of bag drop with light security queues. On the aircraft, there was sufficient seat legroom for my seat 7F. A funny safety video played and the flight was smooth. No food was served, except some M&S, BBC news was playing on the screens, with no sound and Russian captions, quite confusing. The plane landed half an hour late, but it was the best landing I have ever experienced.",A321,Solo Leisure,Economy Class,London to Athens,10/18/2019,4,3,2,2,3,3,yes,0.852,Positive,17,1
5320,British Airways,4,T Smart,1st November 2018,"London to Bangkok. I am not a fan if the BA configuration in Business. However I did have seat 2J so it was right up front. I am not sure where to begin. Food awful, I ordered beef (a showcase of British beef the notes said) that was inedible I left most of it. Instead of asking was something wrong or would I like another meal option, the FA took the tray away and asked if I wanted dessert. Wine 2 reds 2 whites and 2 champagnes - hardly a stellar wine list. Entertainment small screen with dreadful resolution and a very limited ordinary range of options. Staff challenged at best, clearly some had not been in business before. Disengaged and disinterested. The cabin was over hill for me. The toilet was not checked very often, a sweet wrapper remained on the toilet floor the entire trip as did an overflowing rubbish bin. I would expect much better up the front of the plane we pay a premium to be there and the service and overall product do not match expectations.",Boeing 777-200,Solo Leisure,Business Class,London to Bangkok,10/18/2019,3,3,2,1,3,2,no,0.6074,Positive,14,1
5321,British Airways,3,Mark Stanger,28th October 2018,"Abu Dhabi to London. Although a BA flight, this sector was operated by Air Belgium and offered a really poor experience. Aircraft felt old and tired, cabin crew were totally indifferent, cabin temperature was too hot and stuffy and food totally inedible. A really awful flight and worth looking at alternatives if you need to fly this route in the near future.",A340-300,Solo Leisure,Economy Class,Abu Dhabi to London,10/18/2019,2,1,1,1,3,3,no,-0.8762,Negative,11,-1
5322,British Airways,1,Keiran Coulton,27th October 2018,"Gatwick to Orlando. Stains on the seat, cotton buds in the seat well. Disgusting and had to force them to clean. No entertainment on board, it was not functional. Internet available at three times Emirates price and twice AA flight and speed that won achieve streaming. When I complained to BA they told me I couldn communicate with the CEO but I could connect with their customer relations. I have been Gold on BA for thirty years and itÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢s time to ditch this non responsive airline.",Boeing 777,Business,Business Class,Gatwick to Orlando,10/18/2019,1,2,3,1,2,1,no,0.6428,Positive,10,1
5323,British Airways,9,Steven Hodgson,26th October 2018,"Newcastle to Las Vegas via London. Both my flights were great, on time and the food was good on the flight to London, and a nice bottle of champagne as well. My long haul flight was also good, aircraft was 20yrs old but clean, cabin crew were very nice, friendly and efficient, my pre ordered meal was absolutely fantastic, the only complaint I can have is the in flight entertainment needs to be improved, ie, try showing some classic British comedy programmes instead of the unfunny modern stuff, and also include some good classic rock music that people have actually heard of, apart from that, absolutely great, well recommended.",A319 / Boeing 747,Solo Leisure,Business Class,Newcastle to Las Vegas via London,10/18/2019,4,4,4,3,4,5,yes,0.995,Positive,24,1
5324,British Airways,3,Miguel Galeno,25th October 2018,"London to Philadelphia. I upgraded from coach to business for almost $900 because I wanted to experience business class in the Boeing 787, but I was disappointed. While the aircraft was new, the staff really could have cared less about the business guests. 2-3-2 in business with some seats facing the cockpit and others the tail. BA lost me as a traveler because the crew although polite, service wise was lacking. Pre-flight they offer you a beverage, I asked for rose champagne and I was told ÃÂ¢Ã¢ÂÂ¬ÃÂI guess I have to go find a bottle and open oneÃÂ¢Ã¢ÂÂ¬ÃÂ. In my previous business class experiences there are beverages served every 2 hours, not on this almost 8 hour flight. I was served my main meal almost 2.5 hours after takeoff. You get one full hot meal and a snack one hour and a half before landing. You also get an initial beverage and then the next time a beverage is offered is 1.5 hours before landing. If you ask for anything else to drink in between you have to go...",Boeing 787-9,Business,Business Class,London to Philadelphia,10/18/2019,1,1,2,3,2,1,no,0.9145,Positive,10,1
5325,British Airways,9,Bill Atkins,22nd October 2018,"Manchester to Philadelphia via London. MAN-LHR I am not tall so the Club Europe seating is fine for me on a short flight. Addressed by name - adequate breakfast of bacon roll, fruit and yoghurt. Concorde Room not crowded and no wait for showers. LHR-PHL on aged 747 but still my favorite - cabin/washrooms in very good shape though. I have no problem with the BA F layout unlike so many posters here. Excellent flight - experienced crew and though full cabin, all very smooth and professional. Beautifully prepared and presented lamb shank, good wines as always - nice to see a good British bubbly included. Only downside was deplaning in PHL where F passengers had to fight their way off through the J scrum - could have been controlled by crew, but was not.",A319 / Boeing 747-400,Solo Leisure,First Class,Manchester to Philadelphia via London,10/18/2019,5,5,4,4,5,5,yes,0.9837,Positive,28,1
5326,British Airways,1,R Nieters,21st October 2018,Bangkok to London. Seating and interior old with a very small IFE screen. I did not like the meals. Had a short connection and i was rebooked from another partner. Upon arrival in LHR others for the same connecting flight were awaited but not me. I was told there would be service agents in purple everywhere but I found none. The fast track security was non existant. Total experience was bad.,Boieng 777-200,Business,Economy Class,Bangkok to London,10/18/2019,3,2,2,3,1,2,no,-0.5032,Negative,13,-1
5327,British Airways,2,W Reed,18th October 2018,"London to Toronto. 14 day trip to play golf with my Father, and BA lost my clubs for 7 days. Dealing with BA lost luggage/customer service was brutal, they had no idea where my clubs were or how long it would take to retrieve them. I had packed all my clothes with my clubs. First days of trip were to buy clothes and essentials. Flight home from LHR-YYZ was an old 777 with a misplaced seat cushion, and a broken seat that wouldn't stay upright. The IFE system badly needs upgrading, and no power ports at the seats - grueling 7.5hr flight. As bad as I thought Air Canada was they are light years ahead of BA.",Boeing 777,Solo Leisure,Economy Class,London to Toronto,10/18/2019,1,3,3,2,2,1,no,-0.9607,Negative,12,-1
5328,British Airways,3,Luc Vannevel,17th October 2018,"Johannesburg to London. I tend to stay with an airline as a frequent flyer and I fly business class. I have seen a change for the worst in BA service, and it does not seem to get any better. Bedding finally a decent pillow, a very good one indeed. The rest is a waste of money unless a new announced Club World seat is introduced where all this will fit perfectly. Seated in a window seat makes it impossible to make up a bed properly with them new things. I don't expect top food in a plane but I expect service. If you announce things, make sure you have them. On some flights Champagne is not being served when you have taken your seat. Premium economy however gets a sparkling wine. You must eat when they order you to eat. They seem to have run out of certain items such as a gin other than Gordon's. You have to decide upon breakfast before you even had dinner. Entertainment, make sure you bring your tablet with downloaded things to view. BA offers you the most limited offer.",A380,Business,Business Class,Johannesburg to London,10/18/2019,2,2,1,1,4,2,no,0.9494,Positive,12,1
5329,British Airways,8,L Xu,17th October 2018,"Singapore to London Heathrow. It's my first time traveling on British Airways. The seat arrangement in its long-haul business class is very uncommon that half of the seats are facing backward. So you are face-to-face with the one sitting opposite you (at least during taking off and landing when the divider is lowered down). There are 8 Club World seats per row for 777-300ER, which is relatively narrower if comparing with other carriers serving this route. The cabin service was as good as expected. However, I saw only chocolate bars and sweets for the minibar during night. There could be some other choices.",Boeing 777-300ER,Solo Leisure,Business Class,Singapore to London Heathrow,9/18/2019,4,5,3,2,3,3,yes,0.6808,Positive,20,1
5330,British Airways,2,E Gardner,15th October 2018,"London to Los Angeles. Booked this trip eight months previously and as I lost my status on BA a few years ago were forced to pay an additional £180 for our two seats. The flight I chose was a Boeing 787 and was prepared to part with the extra cash so we could be in the small front cabin. Never expecting anything to go according to plan with BA and our flight was cancelled a few days before. We were rebooked onto a later flight which they changed from an A380 to a twenty one year old Jumbo. We were then seated right at the back of Club World to benefit from a screaming child sat in the front row of premium. We were greeted by a rather pleasant steward who told us he would be looking after us for the trip, he then disappeared never to be seen again. Food was served within an hour of take off for an eleven hour flight. The steak so tough was it impossible to cut and could only be eaten by picking up and biting pieces off. After a few hours I went to the galley to seek out a drink as the crew had disappeared,...",Boeing 747-400,Couple Leisure,Business Class,London to Los Angeles,8/18/2019,1,1,1,1,3,3,no,-0.9266,Negative,10,-1
5331,British Airways,4,Gordon Smith,13th October 2018,"Miami to London Heathrow. As with many others whom have posted reviews on this site my issue is with BA's customer service when dealing with an issue that has arisen from flying on this once proud airline. My issue was with faulty equipment onboard. Issue with my seat that the onboard team tried to the best of their ability to sort but unable to through no lack of effort and have nothing but praise for these guys working with aging equipment and keep on trying to do their best to keep the customer happy. Had to move seat and as first, club and premium economy all full, had to move back to economy. Asked customer services to refund me the fare difference for this part of the journey and after several cut and past generic replies on their part and fed up hitting my head off a brick wall have given up as life is too short to fight profits over customer satisfaction organisation. Following a favourable review of my outward journey it is clear BA lacks consistency and don't wish to deal with issue when somethin...",Boeing 747,Solo Leisure,Premium Economy,Miami to London Heathrow,9/18/2019,1,5,3,2,1,2,no,0.2242,Neutral,14,0
5332,British Airways,10,Jair Cameron,28th September 2018,"London Heathrow to Miami. The airport staff was very helpful, the crew was also very nice and the food was delicious. I had the old personal entertainment system but it works very well. Overall it was one of the best flights I had.",Boeing 747-400,Family Leisure,Economy Class,London Heathrow to Miami,8/18/2019,5,5,5,4,4,5,yes,0.9454,Positive,28,1
5333,British Airways,9,J Tarbiner,28th September 2018,"London to Singapore. It was a wonderful flight. I was lucky having a 2-seats-row for my own on the upperdeck, but that was only the last criteria to make the flight perfect. The crew was very friendly and the food was the best I've had on an airplane. If you fly the A380 in economy, book seats in the upperdeck. Best seats on the plane: 83A or 83K.",A380,Solo Leisure,Economy Class,London to Singapore,9/18/2019,5,5,5,4,4,5,yes,0.9811,Positive,28,1
5334,British Airways,7,R Gonzaga,20th September 2018,"BA34 KUL-LHR 6 Sept, return BA11 LHR-SIN-KUL on 16 Sept. All flights in World Traveller Plus with the exception of SIN-KUL on MH economy. On the KUL-LHR leg, the aircraft was clean and spacious in the PY cabin. The seats were the biggest let down. Whilst there was adequate legroom, they were hard and uncomfortable, especially when reclined with virtually no lumbar support. The headrest did not move at all. The seats taper at the waist which is odd and given that they are quite wide, there is very little storage apart from the usual pocket which I think is a missed opportunity by BA to maximise utilisation of space. The food was okay, you get two meals, the first being quite substantial but the second was a joke. IFE was okay but the best part of the journey was the staff who were pleasant and obliging. The return flight was on an A380. Excellent boarding procedure as it was a full flight. Again, seats were the same but the A380 has that wonderful storage space on the upper cabin. Staff were less conspicuou...","Boeing 787-9, A380",Business,Premium Economy,Kuala Lumpur to London Heathrow,9/18/2019,3,4,3,3,5,4,yes,0.9849,Positive,22,1
5335,British Airways,6,Brian Entwistle,18th September 2018,We flew from Los Angeles to Leeds Bradford via Heathrow on Thursday 13th September with British Airways and codeshare partner American Airways. We arrived safely but our bags did not. It is now Monday afternoon and after receiving five different text messages contradicting each previous one we are still without our bags. Come on BA sort this shambles out.,A319,Couple Leisure,Business Class,Los Angeles to Leeds via London Heathrow,6/18/2019,4,4,4,3,1,3,no,-0.2144,Negative,19,-1
5336,British Airways,1,C Thane,16th September 2018,"Chicago to London. I have flown long haul many times with both BA and Virgin premium economy. In my view whilst the Virgin product has improved, the BA equivalent has deteriorated such that Virgin is significantly better. Despite booking and paying for seats with BA this got changed without notification and we ended up in the back of WT+ on the A380 which are dreadful seats by the toilet with limited recline on an overnight flight. For the first time in many years I found the food inedible and the service not great (for example no cutlery initially on tray, no food choice as had run out of other choice, one drink serving and no where to get water on flight). Went through 3 layers of customer service with BA on seat booking issue but consistently fobbed off. Plane was also very warm so that in all a very uncomfortable return leg.",A380,Couple Leisure,Premium Economy,Chicago to London,9/18/2019,1,1,1,1,3,1,no,-0.6594,Negative,8,-1
5337,British Airways,10,F Salih,16th September 2018,"British Airways is my favorite airline. Boeing 777 was 21 years old but clean. The staff was professional. Food was above expectation. During 7 hours flight staff is always there. Captain kept updating us about weather, turbulence, and time.",Boeing 777,Solo Leisure,Premium Economy,Riyadh to London,8/18/2019,5,5,5,4,3,5,yes,0.6757,Positive,27,1
5338,British Airways,7,H Larson,15th September 2018,"Rome to Newark via London. The first sector was on a A319. Flight was a tiny bit delayed but arrived on time. Boarding at FCO was initially by groups and then a free for all after groups 1 and 2. Flight attendants friendly and welcoming. Seat comfort was pretty good with the leather seats though legroom was tight. There was really nothing to set this flight apart from any other low cost carrier as everything had to purchased - even water. No entertainment either. Was prepared for this so packed a lunch from the airport which was better than what appeared to be on the M&S menu. Connection at T5 was smooth as anything given our arrival mid afternoon. Boarding for the flight to Newark was organised and painless. I was dreading this 787 flight a little based on my previous experience with another airline where it felt cramped. Happy to say, the seat comfort was pretty good, legroom was manageable. I was however surprised that for a 2 year old aircraft (i checked), it was pretty dirty. There was grime around th...",A320 / Boeing 787-9,Couple Leisure,Economy Class,Rome to Newark via London,9/18/2019,4,4,3,3,4,3,yes,0.997,Positive,21,1
5339,British Airways,6,m Leeson,14th September 2018,"London Heathrow to New York JFK. The First Wing at Terminal 5 was rubbish tonight, 20 or so deep and itÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢s really the only decent part of ground operation. Flight left late due to repairs then the usual wait for a tow in at Kennedy made us overall late. Staff very cheerful. This route gets decent catering normally but only 3 main options and the Indian chicken was very bland.",Boeing 747-400,Business,Business Class,London Heathrow to New York JFK,9/18/2019,3,4,2,3,1,3,no,0.3392,Neutral,16,0
5340,British Airways,9,D Kemble,12th September 2018,"London Heathrow to Dubai. This was the first time I had flown in first class on BA. I had read many reviews before travelling and they were somewhat mixed. BA's first class cabin is not even close to the best in the skies but then again it isn't the same price and reward tickets are readily available if you are a little bit flexible on dates. We were on a 777 which is probably one of the oldest in the BA fleet. The cabin was clean but a little bit tired in places but the seat was very comfortable and spacious. The sleep suit and amenity kit were great with lots of little touches to make you more comfy. It is nice they offer a male and female kit, my wife was delighted with the contents. The Champagne that BA offer in first is superb. I enjoyed a couple of glasses in the lounge and some on board and it is probably the best champagne I have tasted. Choice of other wines is good too and a particular treat is the Johnnie Walker Blue Label if you are a whiskey drinker. Food was very tasty and well presented. I ...",Boeing 777-200,Couple Leisure,First Class,London Heathrow to Dubai,9/18/2019,4,5,5,3,4,4,yes,0.9992,Positive,25,1
5341,British Airways,7,G Smith,7th September 2018,"Glasgow to Miami via London. Glasgow to Heathrow was painless as was transfer to t3. Heathrow to Miami on aging 747. Flight delayed by an hour due to temperatures on board being unsafe to board. Kept informed by gate team about progress. TV screen tiny and poor choices of entertainment. Plane was looking it's age and a bit run down around the edges. Premium economy offering in cabin and seat comfort far superior on A380. What made this journey very good was the young lady looking after the premium economy cabin. Polite, efficient, welcoming and nothing was any bother for her. Service with a smile from start to finish . People in here quick to criticise poor service so big shout out to this crew member for doing a great job. Also meals and drink selection very good. Although leaving an hour late we arrived in time so overall job well done BA and looking forward to return journey.",Boeing 747,Solo Leisure,Premium Economy,Glasgow to Miami via London,8/18/2019,3,5,5,2,4,4,yes,0.9747,Positive,23,1
5342,British Airways,10,Harry Aronowicz,3rd September 2018,"London to Toronto. Group of 10 people age from 2 to over 60. Business Class seating in 787/9 very conducive for family travelling, allows for interaction. Forward Business Class cabin on 787 is fairly private. Service on both flights was flawless, very attentive to the three small children while also allowing the adults to enjoy the meals. Food presentation especially on the intercontinental leg was really nice and the food on both flights was simply fantastic. Outstanding crew on BA 603 and BA 99 - on our outgoing flights from Toronto on August 16 similar great service. BA gets often negative reviews but myself travelling regularly with them have never had a bad experience. Their seating arrangement in Club World is perfect when travelling with family. Other carriers may have an advantage if one travels alone.",A319 / Boeing 787-9,Family Leisure,Business Class,Pisa to Toronto via London,9/18/2019,4,5,5,4,5,5,yes,0.9624,Positive,28,1
5343,British Airways,4,H Fanzen,29th August 2018,"Washington to Frankfurt via London. Check-In at Dulles Airport was smooth. I asked the agent if it was possible to get a window seat and she did, even though at the online check-in there was none available. Boeing 747-400 was 27 years old, the IFE was the size of my wallet and the quality was incredibly bad. The seats were ok, pretty standard but they had a head rest which was good. My seat was 27A and I had the whole row for myself. Unfortunately a crew member shortly before take-off told me that another passenger had issues with his IFE and they would replace him on 27C. Shortly after take-off the service began. There were 2 food options available. Chicken and vegatarian lasagne, I went for the Lasagne which was ok, nothing special. It came with a salad, a bread bun and a black forest cake. All in all an ok meal, nothing to complain about. The crew distributed 2 mini cans of soda which was a bit unsatisfying. After dinner the crew dimmed the lights and we were supposed to close the window shades for the ...",Boeing 747-400 / A319,Solo Leisure,Economy Class,Washington to Frankfurt via London,8/18/2019,3,3,2,1,4,2,no,0.9738,Positive,15,1
5344,British Airways,7,J Cooper,23rd August 2018,I always like travelling on a BA A380. Seats in economy class are comfortable and always able to sleep which is rare on other airlines or types of planes. However the food is really poor. In the last 12 months I have had some of the worst airline food served from BA or Cathay Pacific and this includes my most recent travels with British Airways. Thankfully BA airline staff are always the best.,A380,Solo Leisure,Economy Class,London Heathrow to Hong Kong,8/18/2019,5,5,3,5,4,3,yes,0.6494,Positive,25,1
5345,British Airways,3,S Andrews,21st August 2018,"London to Athens. Since I started using BA in 2011, I can only say that the quality becomes worse. The leg room in Business Class in A320 is the same like in economy. The only thing that you get is an empty middle seat. The meal choices are poor: I had to choose between curry and fish pie. Also, they first brought us the starter and the dessert and after 5-10 mins (once we ate the starter), they took the starter plate and they gave us the main. The on board service, is less 'attentive' than some years ago (probably cabin crew are over-utilised and want to get some rest which is understandable). Also, due to the plane being late, the cabin was not cleaned properly. At some point we need to think why would someone choose BA over low cost airlines. Tickets are priced in a similar way, there is no food on board for the economy (while for business the portion and variety are a joke), leg space is small, there are always delays to depart from Heathrow (not BAs fault, but at the end of the day I experience delays...",A320,Couple Leisure,Business Class,London to Athens,8/18/2019,1,3,2,1,2,3,no,-0.6808,Negative,12,-1
5346,British Airways,10,Matthew Haycock,21st August 2018,"London Heathrow to Singapore. Had a great experience in the Concorde Room, and Galleries First lounges in Heathrow T5. I was warmly greeted by a member of the crew, who held me aside and took me into the cockpit to meet the flight crew and have a look around, all because I expressed a slight interest, and for that I am thankful. The flight crew were very friendly and it was nice to see what goes on in the cockpit. The seat was very well presented, there was a small amenity kit, as well as a pair of pyjamas. The seat was clean with pillows, as well as ample storage space. You get a closet to hang clothes, a little compartment next to the seat, as well as the overhead bin, so I never ran out of room. The pre-departure beverage was a choice of water, orange juice, or champagne and hot towels were handed out. The flight left slightly behind schedule, but at Heathrow, this is something you expect. Very soon after take-off, the crew began serving dinner. I had already booked my meal in advance, but the choice of...",A380,Family Leisure,First Class,London Heathrow to Singapore,7/18/2019,5,5,5,4,5,5,yes,0.9976,Positive,29,1
5347,British Airways,3,M Weale,20th August 2018,"Philadelphia to London. Nice plane, nice seats, low quality service on the plane. Both my husband and I ordered low sodium meals. His was delivered, mine was not. When asked, the attendant brought an uncovered tray with the sticker on the tray LSML. Obviously heated up quickly but was lukewarm, dry and I was troubled by the fact it was delivered with no foil covering the food. Not the same as my husbands meal, so I have to take the airlines word LSML that it was low sodium. Attendants serving coffee missed us and when I pressed the call button it was over 15 minutes before a flight attendant showed up. One pass through the cabin for drinks. After that, you had to go to the back of the plane to find an attendant and order a drink. Sandwich served before landing in the evening was horrendous. Hummus, limp piece of lettuce and soggy thin sliced tomatoes made this stale sandwich unappealing and tasteless to say the least. I expected edible food and better, more friendly service with this airline. Our flight at...",Boeing 787,Couple Leisure,Premium Economy,Philadelphia to London,8/18/2019,3,1,1,3,4,3,no,-0.897,Negative,15,-1
11479,Cathay Pacific Airways,8,W Jannsen,10th May 2019,"Madrid to Tokyo via Hong Kong. Friendly staff, seat on the A350 is great to lounge/eat and even sleep. On 777 bit less so and more chaotic and economy class meal. A350 to Hong Kong premium meal which was nothing to complain about. Enough snacks and drinks during the flight. PE well worth the money.",A350 / Boeing 777,Couple Leisure,Premium Economy,Madrid to Tokyo via Hong Kong,4/19/2019,5,4,5,4,3,4,yes,0.825,Positive,25,1
11480,Cathay Pacific Airways,8,Alwaleed Althani,9th May 2019,"Hong Kong to Singapore. A much older plane with very old 2-3-2 seating layout, it didn help with my osteoarthritis and over an hour delay compounded the condition service was friendly, the entertainment system was good I watched a few classic episodes of Frasier, the food was tasty.",Boeing 777-300,Solo Leisure,Business Class,Hong Kong to Singapore,5/19/2019,2,5,5,5,5,5,yes,0.8519,Positive,27,1
11481,Cathay Pacific Airways,3,L Radao,8th May 2019,"Melbourne to Tokyo via Hong Kong. Every time I've flown with Cathay it hasn't been great but this flight proved to be nightmarish. Landed in Narita via Hong Kong only to find my luggage had been lost! Although it was recovered in a few days time, the inconvenience caused by this cannot be understated. I was not offered any form of compensation beyond a simple apology. On the way back, there was also a 90-minute delay applied to the (midnight) HKG layover, during which they were asking if guests were willing to take a flight the next day as the replacement plane could not fit all passengers. Furthermore, the reason for this delay was never explained by the ground crew! Cabin staff overall was average bordering on robotic save for one exceptional hostess, I still gave it a 2 as on the return leg, menus for dinner/breakfast was not distributed and incoming passenger cards were only provided upon request (!) Speaking of which, meals were nothing special either compared to JAL, Emirates or even Delta. The only ...",Boeing 777-300ER /A350-1000,Solo Leisure,Economy Class,Melbourne to Tokyo via Hong Kong,5/19/2019,4,2,2,3,1,1,no,-0.698,Negative,13,-1
11482,Cathay Pacific Airways,7,Francesca Somaini,7th May 2019,"Hong Kong to Milan. I had high expectations and most of them were disattended. The aircraft was extremely noisy, even with headphones the noise was really strong. The choice of movie is not so great. The seats are comfortable when you are seated but not when you lay flat. There is no extra mattress or something that soften a little the hard seat. Food is sufficient but nothing special. Flight attendants were nice",Boeing 777 -300,Solo Leisure,Business Class,Hong Kong to Milan,5/19/2019,3,4,2,2,3,4,no,-0.1996,Negative,18,-1
11483,Cathay Pacific Airways,1,Y Lee,6th May 2019,"Hong Kong to Brisbane via Cairns. Worst business class experienced. Definitely not worth the money. Hong Kong Business lounge is alright and the catering staff is generally friendly and helpful. Grumpy, cold and slack crew. Knowing I had injured my shoulder, the crew didn't bother to help me with my cabin baggage in any capacity even when they saw me struggle. In-flight meal was awful. Cold, thick-skinned dim sum. The braised salmon was cold in the centre as well. I left almost everything uneaten, but the crew didn't bother to care or ask why. Cathay's cost cutting measures are really hurting its core product. I'd take my business to Singapore Airlines in a heartbeat, which even provides free cabin WiFi.",A330-300,Solo Leisure,Business Class,Hong Kong to Brisbane via Cairns,5/19/2019,3,1,1,3,3,1,no,-0.416,Negative,12,-1
11484,Cathay Pacific Airways,7,M Martin,4th May 2019,"This was my first time flying Cathay so I cannot compare it to its previous glory days. Overall I was satisfied with my experience. Cathay is comparable to the other better airlines out there, though none of them are particularly great these days. I liked that I could check in 48 hours in advance and take 2 suitcases with an economy fare, which is better than most airlines. Having to enter my advance passenger information 4 times (once for each flight there and back) was ridiculous, however. Boarding was well set up, with separate lines clearly signposted for each class of passenger. This prevents massive scrums to board. On both flights (B777 and A350), legroom was good, seat recline was excellent, and IFE was very good with large selection of entertainment and high quality screens. Cabin service was efficient if rather robotic and cold. Meals were pretty decent, especially the Asian dishes. I particularly liked the curry fried fish with rice and the noodles with dumplings. On my return, the flight from P...","Boeing 777-300, A350-900",Solo Leisure,Economy Class,Toronto to Perth via Hong Kong,4/19/2019,3,3,4,5,4,5,yes,0.4196,Neutral,24,0
